Date,Year,Month,MonthName,Quarter,WeekOfYear,DayOfWeek
2009-12-01 07:45:00,2009,12,December,Q4,49,Tuesday
2009-12-02 07:45:00,2009,12,December,Q4,49,Wednesday
2009-12-03 07:45:00,2009,12,December,Q4,49,Thursday
2009-12-04 07:45:00,2009,12,December,Q4,49,Friday
2009-12-05 07:45:00,2009,12,December,Q4,49,Saturday
2009-12-06 07:45:00,2009,12,December,Q4,49,Sunday
2009-12-07 07:45:00,2009,12,December,Q4,50,Monday
2009-12-08 07:45:00,2009,12,December,Q4,50,Tuesday
2009-12-09 07:45:00,2009,12,December,Q4,50,Wednesday
2009-12-10 07:45:00,2009,12,December,Q4,50,Thursday
2009-12-11 07:45:00,2009,12,December,Q4,50,Friday
2009-12-12 07:45:00,2009,12,December,Q4,50,Saturday
2009-12-13 07:45:00,2009,12,December,Q4,50,Sunday
2009-12-14 07:45:00,2009,12,December,Q4,51,Monday
2009-12-15 07:45:00,2009,12,December,Q4,51,Tuesday
2009-12-16 07:45:00,2009,12,December,Q4,51,Wednesday
2009-12-17 07:45:00,2009,12,December,Q4,51,Thursday
2009-12-18 07:45:00,2009,12,December,Q4,51,Friday
2009-12-19 07:45:00,2009,12,December,Q4,51,Saturday
2009-12-20 07:45:00,2009,12,December,Q4,51,Sunday
2009-12-21 07:45:00,2009,12,December,Q4,52,Monday
2009-12-22 07:45:00,2009,12,December,Q4,52,Tuesday
2009-12-23 07:45:00,2009,12,December,Q4,52,Wednesday
2009-12-24 07:45:00,2009,12,December,Q4,52,Thursday
2009-12-25 07:45:00,2009,12,December,Q4,52,Friday
2009-12-26 07:45:00,2009,12,December,Q4,52,Saturday
2009-12-27 07:45:00,2009,12,December,Q4,52,Sunday
2009-12-28 07:45:00,2009,12,December,Q4,53,Monday
2009-12-29 07:45:00,2009,12,December,Q4,53,Tuesday
2009-12-30 07:45:00,2009,12,December,Q4,53,Wednesday
2009-12-31 07:45:00,2009,12,December,Q4,53,Thursday
2010-01-01 07:45:00,2010,1,January,Q1,53,Friday
2010-01-02 07:45:00,2010,1,January,Q1,53,Saturday
2010-01-03 07:45:00,2010,1,January,Q1,53,Sunday
2010-01-04 07:45:00,2010,1,January,Q1,1,Monday
2010-01-05 07:45:00,2010,1,January,Q1,1,Tuesday
2010-01-06 07:45:00,2010,1,January,Q1,1,Wednesday
2010-01-07 07:45:00,2010,1,January,Q1,1,Thursday
2010-01-08 07:45:00,2010,1,January,Q1,1,Friday
2010-01-09 07:45:00,2010,1,January,Q1,1,Saturday
2010-01-10 07:45:00,2010,1,January,Q1,1,Sunday
2010-01-11 07:45:00,2010,1,January,Q1,2,Monday
2010-01-12 07:45:00,2010,1,January,Q1,2,Tuesday
2010-01-13 07:45:00,2010,1,January,Q1,2,Wednesday
2010-01-14 07:45:00,2010,1,January,Q1,2,Thursday
2010-01-15 07:45:00,2010,1,January,Q1,2,Friday
2010-01-16 07:45:00,2010,1,January,Q1,2,Saturday
2010-01-17 07:45:00,2010,1,January,Q1,2,Sunday
2010-01-18 07:45:00,2010,1,January,Q1,3,Monday
2010-01-19 07:45:00,2010,1,January,Q1,3,Tuesday
2010-01-20 07:45:00,2010,1,January,Q1,3,Wednesday
2010-01-21 07:45:00,2010,1,January,Q1,3,Thursday
2010-01-22 07:45:00,2010,1,January,Q1,3,Friday
2010-01-23 07:45:00,2010,1,January,Q1,3,Saturday
2010-01-24 07:45:00,2010,1,January,Q1,3,Sunday
2010-01-25 07:45:00,2010,1,January,Q1,4,Monday
2010-01-26 07:45:00,2010,1,January,Q1,4,Tuesday
2010-01-27 07:45:00,2010,1,January,Q1,4,Wednesday
2010-01-28 07:45:00,2010,1,January,Q1,4,Thursday
2010-01-29 07:45:00,2010,1,January,Q1,4,Friday
2010-01-30 07:45:00,2010,1,January,Q1,4,Saturday
2010-01-31 07:45:00,2010,1,January,Q1,4,Sunday
2010-02-01 07:45:00,2010,2,February,Q1,5,Monday
2010-02-02 07:45:00,2010,2,February,Q1,5,Tuesday
2010-02-03 07:45:00,2010,2,February,Q1,5,Wednesday
2010-02-04 07:45:00,2010,2,February,Q1,5,Thursday
2010-02-05 07:45:00,2010,2,February,Q1,5,Friday
2010-02-06 07:45:00,2010,2,February,Q1,5,Saturday
2010-02-07 07:45:00,2010,2,February,Q1,5,Sunday
2010-02-08 07:45:00,2010,2,February,Q1,6,Monday
2010-02-09 07:45:00,2010,2,February,Q1,6,Tuesday
2010-02-10 07:45:00,2010,2,February,Q1,6,Wednesday
2010-02-11 07:45:00,2010,2,February,Q1,6,Thursday
2010-02-12 07:45:00,2010,2,February,Q1,6,Friday
2010-02-13 07:45:00,2010,2,February,Q1,6,Saturday
2010-02-14 07:45:00,2010,2,February,Q1,6,Sunday
2010-02-15 07:45:00,2010,2,February,Q1,7,Monday
2010-02-16 07:45:00,2010,2,February,Q1,7,Tuesday
2010-02-17 07:45:00,2010,2,February,Q1,7,Wednesday
2010-02-18 07:45:00,2010,2,February,Q1,7,Thursday
2010-02-19 07:45:00,2010,2,February,Q1,7,Friday
2010-02-20 07:45:00,2010,2,February,Q1,7,Saturday
2010-02-21 07:45:00,2010,2,February,Q1,7,Sunday
2010-02-22 07:45:00,2010,2,February,Q1,8,Monday
2010-02-23 07:45:00,2010,2,February,Q1,8,Tuesday
2010-02-24 07:45:00,2010,2,February,Q1,8,Wednesday
2010-02-25 07:45:00,2010,2,February,Q1,8,Thursday
2010-02-26 07:45:00,2010,2,February,Q1,8,Friday
2010-02-27 07:45:00,2010,2,February,Q1,8,Saturday
2010-02-28 07:45:00,2010,2,February,Q1,8,Sunday
2010-03-01 07:45:00,2010,3,March,Q1,9,Monday
2010-03-02 07:45:00,2010,3,March,Q1,9,Tuesday
2010-03-03 07:45:00,2010,3,March,Q1,9,Wednesday
2010-03-04 07:45:00,2010,3,March,Q1,9,Thursday
2010-03-05 07:45:00,2010,3,March,Q1,9,Friday
2010-03-06 07:45:00,2010,3,March,Q1,9,Saturday
2010-03-07 07:45:00,2010,3,March,Q1,9,Sunday
2010-03-08 07:45:00,2010,3,March,Q1,10,Monday
2010-03-09 07:45:00,2010,3,March,Q1,10,Tuesday
2010-03-10 07:45:00,2010,3,March,Q1,10,Wednesday
2010-03-11 07:45:00,2010,3,March,Q1,10,Thursday
2010-03-12 07:45:00,2010,3,March,Q1,10,Friday
2010-03-13 07:45:00,2010,3,March,Q1,10,Saturday
2010-03-14 07:45:00,2010,3,March,Q1,10,Sunday
2010-03-15 07:45:00,2010,3,March,Q1,11,Monday
2010-03-16 07:45:00,2010,3,March,Q1,11,Tuesday
2010-03-17 07:45:00,2010,3,March,Q1,11,Wednesday
2010-03-18 07:45:00,2010,3,March,Q1,11,Thursday
2010-03-19 07:45:00,2010,3,March,Q1,11,Friday
2010-03-20 07:45:00,2010,3,March,Q1,11,Saturday
2010-03-21 07:45:00,2010,3,March,Q1,11,Sunday
2010-03-22 07:45:00,2010,3,March,Q1,12,Monday
2010-03-23 07:45:00,2010,3,March,Q1,12,Tuesday
2010-03-24 07:45:00,2010,3,March,Q1,12,Wednesday
2010-03-25 07:45:00,2010,3,March,Q1,12,Thursday
2010-03-26 07:45:00,2010,3,March,Q1,12,Friday
2010-03-27 07:45:00,2010,3,March,Q1,12,Saturday
2010-03-28 07:45:00,2010,3,March,Q1,12,Sunday
2010-03-29 07:45:00,2010,3,March,Q1,13,Monday
2010-03-30 07:45:00,2010,3,March,Q1,13,Tuesday
2010-03-31 07:45:00,2010,3,March,Q1,13,Wednesday
2010-04-01 07:45:00,2010,4,April,Q2,13,Thursday
2010-04-02 07:45:00,2010,4,April,Q2,13,Friday
2010-04-03 07:45:00,2010,4,April,Q2,13,Saturday
2010-04-04 07:45:00,2010,4,April,Q2,13,Sunday
2010-04-05 07:45:00,2010,4,April,Q2,14,Monday
2010-04-06 07:45:00,2010,4,April,Q2,14,Tuesday
2010-04-07 07:45:00,2010,4,April,Q2,14,Wednesday
2010-04-08 07:45:00,2010,4,April,Q2,14,Thursday
2010-04-09 07:45:00,2010,4,April,Q2,14,Friday
2010-04-10 07:45:00,2010,4,April,Q2,14,Saturday
2010-04-11 07:45:00,2010,4,April,Q2,14,Sunday
2010-04-12 07:45:00,2010,4,April,Q2,15,Monday
