StockCode,Description,UnitPrice
10002,INFLATABLE POLITICAL GLOBE,0.9753475935828876
10002R,ROBOT PENCIL SHARPNER,5.133333333333333
10080,GROOVY CACTUS INFLATABLE,0.505
10109,BENDY COLOUR PENCILS,0.42
10120,DOGGY RUBBER,0.2397297297297297
10123C,HEARTS WRAPPING TAPE,0.7772307692307693
10123G,ARMY CAMO WRAPPING TAPE,0.7783333333333333
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,0.462
10125,MINI FUNKY DESIGN TAPES,0.930635838150289
10133,COLOURING PENCILS BROWN TUBE,0.7449484536082475
10134,COLOURING PENCILS BROWN TUBE,1.29
10135,COLOURING PENCILS BROWN TUBE,1.397659574468085
10138,ASSORTED COLOUR JUMBO PEN,0.48519999999999996
11001,ASSTD DESIGN RACING CAR PEN,1.860749063670412
15030,FAN BLACK FRAME,0.29
15034,PAPER POCKET TRAVELING FAN,0.3514885496183206
15036,ASSORTED COLOURS SILK FAN,0.989831013916501
15039,SANDALWOOD FAN,1.1410576923076923
15044A,PINK PAPER PARASOL,3.590674603174603
15044B,BLUE PAPER PARASOL,3.545105263157895
15044C,PURPLE PAPER PARASOL,3.803940677966102
15044D,RED PAPER PARASOL,3.4283690987124467
15056BL,EDWARDIAN PARASOL BLACK,6.810526859504132
15056N,EDWARDIAN PARASOL NATURAL,7.360356839422261
15056P,EDWARDIAN PARASOL PINK,6.823903061224491
15058A,BLUE WHITE SPOTS GARDEN PARASOL,8.50406451612903
15058B,PINK WHITE SPOTS GARDEN PARASOL,9.623664596273292
15058C,ICE CREAM DESIGN GARDEN PARASOL,9.607096774193549
15059A,ENGLISH ROSE EDWARDIAN PARASOL,10.5
15060B,FAIRY CAKE DESIGN UMBRELLA,5.555422993492408
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.15623529411764706
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12
16011,ANIMAL STICKERS,0.2095575221238938
16012,FOOD/DRINK SPUNGE STICKERS,0.2094047619047619
16014,SMALL CHINESE STYLE SCISSOR,0.39526881720430107
16015,MEDIUM CHINESE STYLE SCISSOR,0.4870769230769231
16016,LARGE CHINESE STYLE SCISSOR,0.8401886792452831
16020C,CLEAR STATIONERY BOX SET,0.843
16033,MINI HIGHLIGHTER PENS,0.11666666666666667
16043,POP ART PUSH DOWN RUBBER,0.308
16044,POP-ART FLUORESCENT PENS,0.3
16045,POPART WOODEN PENCILS ASST,0.049600000000000005
16046,TEATIME PEN CASE & PENS,0.929375
16047,POP ART PEN CASE & PENS,0.9309375
16048,TEATIME ROUND PENCIL SHARPENER,0.40254716981132077
16049,TEATIME GEL PENS ASST,0.381875
16050,TEATIME PENCIL WITH RUBBER,0.4
16051,TEATIME PENCIL W STAMP ASST,0.4325
16052,TEATIME PUSH DOWN RUBBER,0.5644444444444444
16053,POPART COL BALLPOINT PEN ASST,0.16090909090909092
16054,POPART RECT PENCIL SHARPENER ASST,0.1725
16119,FUNKY GIRL ADDRESS BOOK,1.0325
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,2.25
16156L,"WRAP, CAROUSEL",0.42
16156N,"WRAP, FRIENDSHIP ON GREEN",0.42
16156S,WRAP PINK FAIRY CAKES,0.41535545023696685
16161C,WRAP SPEED DEMONS,0.1
16161E,WRAP BOUDOIR,0.1
16161G,WRAP BAD HAIR DAY,0.1
16161M,WRAP  PINK FLOCK,0.418
16161P,WRAP ENGLISH ROSE,0.4189569160997732
16161U,"WRAP,SUKI AND FRIENDS",0.41806853582554515
16162L,THE KING GIFT BAG,0.7270967741935483
16162M,THE KING GIFT BAG 25x24x12cm,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.5918811881188119
16168S,FUNKY MONKEY GIFT BAG SMALL,0.31363636363636366
16169A,WRAP CHRISTMAS DECOUPAGE,0.42
16169C,WRAP BLUE REINDEER,0.42
16169D,WRAP WINTER FOREST,0.42
16169E,WRAP 50'S  CHRISTMAS,0.4192105263157895
16169F,WRAP BLIZZARD,0.42
16169G,WRAP ROMANTIC DECOUPAGE,0.42
16169K,WRAP FOLK ART,0.3625
16169M,WRAP DAISY CARPET,0.35483333333333333
16169N,WRAP BLUE RUSSIAN FOLKART,0.3501785714285714
16169P,WRAP GREEN RUSSIAN FOLKART,0.35897959183673467
16192,PINK BALLET OPENING CUBE BOX,4.3
16201A,PASTEL PINK PHOTO ALBUM,3.592
16201B,PASTEL BLUE PHOTO ALBUM,2.838
16202A,PASTEL PINK PHOTO ALBUM,4.094166666666667
16202B,PASTEL BLUE PHOTO ALBUM,4.405384615384615
16202C,BEIGE PHOTO ALBUM,3.9766666666666666
16202E,BLACK PHOTO ALBUM,3.5386666666666664
16206B,RED PURSE WITH PINK HEART,1.23125
16207A,PINK STRAWBERRY HANDBAG,3.001578947368421
16207B,PINK HEART RED HANDBAG,2.654782608695652
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,1.6778048780487806
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,0.65
16216,LETTER SHAPE PENCIL SHARPENER,0.21760869565217392
16218,CARTOON  PENCIL SHARPENERS,0.4536734693877551
16219,HOUSE SHAPE PENCIL SHARPENER,0.5518604651162791
16225,RATTLE SNAKE EGGS,1.5598192771084338
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.3077358490566038
16236,KITTY PENCIL ERASERS,0.30300751879699245
16237,SLEEPING CAT ERASERS,0.29605442176870744
16238,PARTY TIME PENCIL ERASERS,0.30966244725738395
16239,BALLERINA HEART DECORATION.,2.6557142857142857
16243B,BROWN COZY SQUARE PHOTO ALBUM,5.49625
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,4.073571428571428
