StockCode,Forecast_Demand,Safety_Stock,Reorder_Point,Inventory_Position,Reorder_Quantity,Risk_Category,Risk_Action,Current_Stock_Value_GBP,Reorder_Capital_Required_GBP,Excess_Capital_Tied_Up_GBP,Lead_Time_Weeks
22197,2955.75,2186.0,8097.5,3544.0,8279.0,HIGH STOCKOUT RISK,REORDER NOW,3633.004039087948,8486.918859934854,0.0,2
22086,1496.0,1427.0,4419.0,2906.0,3078.0,HIGH STOCKOUT RISK,REORDER NOW,9777.992783109405,10356.73151631478,0.0,2
20668,1015.0,820.0,2850.0,2358.0,1702.0,HIGH STOCKOUT RISK,REORDER NOW,390.0787700534759,281.55812834224594,0.0,2
22578,1009.75,908.0,2927.5,2393.0,1646.0,HIGH STOCKOUT RISK,REORDER NOW,1488.6182009925556,1023.930446650124,0.0,2
84077,876.75,2349.0,4102.5,2463.0,1044.0,HIGH STOCKOUT RISK,REORDER NOW,695.9345982575023,294.98811229428844,0.0,2
22577,870.25,813.0,2553.5,1765.0,1716.0,HIGH STOCKOUT RISK,REORDER NOW,1147.4138051044083,1115.5592575406033,0.0,2
22910,757.5,846.0,2361.0,1155.0,1875.0,HIGH STOCKOUT RISK,REORDER NOW,3806.009404924761,6178.58669630643,0.0,2
22952,711.5,1660.0,3083.0,2671.0,175.0,HIGH STOCKOUT RISK,REORDER NOW,1923.573865760408,126.02973661852164,0.0,2
22355,630.5,389.0,1650.0,1087.0,1435.0,HIGH STOCKOUT RISK,REORDER NOW,1255.603881099271,1657.5819405496354,0.0,2
21137,628.25,570.0,1826.5,943.0,1570.0,HIGH STOCKOUT RISK,REORDER NOW,3903.78534992224,6499.409331259721,0.0,2
22579,625.75,508.0,1759.5,703.0,1800.0,HIGH STOCKOUT RISK,REORDER NOW,485.62017391304346,1243.4086956521735,0.0,2
21787,617.25,672.0,1906.5,1660.0,809.0,HIGH STOCKOUT RISK,REORDER NOW,1717.3202505219208,836.9349895615867,0.0,2
22616,609.0,1166.0,2384.0,1918.0,518.0,HIGH STOCKOUT RISK,REORDER NOW,814.7636729857819,220.04566350710897,0.0,2
